snap,cloud,time_value,c_coord_X,c_coord_Y,c_coord_Z,Peak_Density
380,cloud-5,4.375,133.02225012232867,215.61329895210983,26.986247714863737,8116.010116621403
379,cloud-0,4.3625,228.2226180622955,180.95089249126838,69.63023419228472,125613.9601043813
379,cloud-1,4.3625,210.23475299470624,212.3028786194584,64.3335773398727,24659.982781172777
379,cloud-2,4.3625,135.55264908414392,214.99219813339053,28.308926813450512,7361.430582833658
379,cloud-3,4.3625,105.81059114442158,204.80590193496124,36.75951979512672,11709.731078819244
379,cloud-4,4.3625,138.5246287202484,213.23926093524932,28.737594149494555,8872.913282680445
379,cloud-5,4.3625,133.0130867338157,215.6395348952891,27.023260688422056,8094.649552157801
378,cloud-0,4.3500000000000005,228.2414486086841,180.9976251251492,69.61276158283272,110404.93879543203
378,cloud-1,4.3500000000000005,210.221890461286,212.33796391286398,64.33533153871406,28731.45470089726
378,cloud-2,4.3500000000000005,135.5147933667755,215.003137992373,28.34347324384413,6872.119342432985
378,cloud-3,4.3500000000000005,105.81955542929092,204.8033909216859,36.76090785556343,13809.186989972291
378,cloud-4,4.3500000000000005,138.4643219822865,213.180603071471,28.831543956261925,9091.487856465039
378,cloud-5,4.3500000000000005,133.00401280135736,215.66602695481663,27.06027788411211,8030.120287181819
377,cloud-0,4.3375,228.2583110148529,181.04214822572317,69.59679905847433,96172.73311489588
377,cloud-1,4.3375,210.21120408176787,212.37736556821773,64.33624246762463,33158.222408444744
377,cloud-2,4.3375,135.47786513322364,215.01602380859603,28.379842699946337,6512.4036433700785
377,cloud-3,4.3375,105.83723203548044,204.8074544814867,36.754571888622706,16772.23756573296
377,cloud-4,4.3375,138.44219304029247,213.1907375395985,28.837729723610053,9061.414356064986
377,cloud-5,4.3375,132.98571003358785,215.69965461388364,27.107376846341097,8025.374197730248
376,cloud-0,4.325,228.27246292931926,181.084869204965,69.58267966694292,86873.1603668106
376,cloud-1,4.325,210.19797749449503,212.40327052391623,64.33653255481472,35269.64082984296
